序号,id,XQMC,FWWZ,JD,WD
1,1,鸦雀塘社区,湖南省湘潭市岳塘区下摄司街道鸦雀塘社区,112.923178,27.812326
2,2,晨光幼儿园,湖南省湘潭市雨湖区和平街道莲城大道新都汇7栋2层,112.935924,27.907
3,3,人民学校,湖南省湘潭市雨湖区万楼街道,112.92765,27.87834
4,4,清逸居,湖南省湘潭市岳塘区建设路街道建设南路498号,112.91676,27.838
5,5,桂花园50号,湖南省湘潭市雨湖区窑湾街道桂花园50号,112.884935,27.869119
6,6,宝塔中路南北花园4栋,湖南省湘潭市岳塘区下摄司街道宝塔中路南北花园4栋,112.926513,27.834296
7,7,明湖广场,湖南省湘潭市雨湖区和平街道桃源路(湖南科技大学(北校)),112.909128,27.910623
8,8,湘潭万达广场A座,湖南省湘潭市岳塘区双马街道湘潭大道281号,112.933678,27.831143
9,9,湘潭市岳塘区彩霞花园C栋,湖南省湘潭市岳塘区下摄司街道彩霞花园c栋,112.919285,27.817921
10,10,东湖路社区文化广场,湖南省湘潭市岳塘区建设路街道富都花园6栋,112.90906,27.84989
11,11,东湖西路温馨花园别墅19-1号,湖南省湘潭市岳塘区下摄司街道东湖西路温馨花园别墅19-1号,112.905789,27.847886
12,12,雨湖区建元中学,湖南省湘潭市雨湖区万楼街道,112.919626,27.890871
13,13,瞻岳门社区,湖南省湘潭市雨湖区雨湖路街道瞻岳门社区,112.913581,27.864761
14,14,东湖西路温馨花园别墅1栋1号,湖南省湘潭市岳塘区下摄司街道东湖西路温馨花园别墅1栋1号,112.907006,27.847618
15,15,护潭广场,湖南省湘潭市雨湖区韶山东路附近,112.92171,27.87477
16,16,新苗金源幼儿园,湖南省湘潭市雨湖区窑湾街道宝庆路416号,112.876467,27.856402
17,17,姜畲镇青亭小学,湖南省湘潭市雨湖区姜畲镇青亭村村委会旁(往南100米),112.833551,27.856496
18,18,金蓓蕾幼儿园,湖南省湘潭市岳塘区和平村新庙37号正东方向47米,112.905,27.82899
19,19,湘潭市岳塘区富都花园11栋,湖南省湘潭市岳塘区建设路街道富都花园11栋,112.910367,27.848615
20,20,石油小区,湖南省湘潭市雨湖区云塘街道韶山东路45号,112.91795,27.87413
21,21,友谊广场,湖南省湘潭市岳塘区书院路26号,112.926729,27.818862
22,22,友谊新村小区,湖南省湘潭市岳塘区书院东路1号西北方向50米,112.92798,27.81932
23,23,三角坪社区,湖南省湘潭市岳塘区东坪街道三角坪社区,112.907913,27.838718
24,24,天骄公寓西区,湖南省湘潭市雨湖区韶山西路649正南方向10米,112.8815,27.8617
25,25,铁园社区,湖南省湘潭市岳塘区下摄司街道铁园社区,112.920194,27.804207
